"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ficussuzhou",,,,"User:","xtgu"
"Cmdline:","dstat --output=dstat/dstat_database_1.csv -cdn -m",,,,"Date:","31 Jul 2015 20:53:51 CST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free"
6.809,1.584,90.522,1.074,0.000,0.011,744461.337,1168675.364,0.0,0.0,15074983936.0,885927936.0,16063336448.0,1371394048.0
3.145,1.384,84.906,10.566,0.0,0.0,17810432.0,386048.0,1421.0,1828.0,15095525376.0,886071296.0,16070017024.0,1344028672.0
11.809,0.628,85.176,2.387,0.0,0.0,4935680.0,0.0,9629.0,2515.0,15136120832.0,886087680.0,16078458880.0,1294974976.0
1.631,0.627,97.742,0.0,0.0,0.0,28672.0,335872.0,7549.0,1623.0,15137554432.0,886087680.0,16074715136.0,1297285120.0
0.631,0.253,99.116,0.0,0.0,0.0,0.0,0.0,2357.0,2088.0,15136796672.0,886087680.0,16074878976.0,1297879040.0
2.015,0.504,97.481,0.0,0.0,0.0,0.0,0.0,5528.0,2364.0,15139962880.0,886087680.0,16074948608.0,1294643200.0
1.126,0.751,97.747,0.375,0.0,0.0,0.0,147456.0,27844.0,1117.0,15139790848.0,886095872.0,16075018240.0,1294737408.0
1.258,0.881,97.610,0.252,0.0,0.0,0.0,352256.0,3368.0,3382.0,15139553280.0,886104064.0,16075026432.0,1294958592.0
0.883,0.504,94.830,3.783,0.0,0.0,0.0,1355776.0,4876.0,1863.0,15139840000.0,886104064.0,16075051008.0,1294647296.0
1.008,0.630,98.111,0.252,0.0,0.0,12288.0,0.0,2203.0,2480.0,15140343808.0,886104064.0,16075038720.0,1294155776.0
2.120,0.873,97.007,0.0,0.0,0.0,0.0,0.0,6174.0,4039.0,15142510592.0,886104064.0,16075218944.0,1291808768.0
2.369,1.372,96.010,0.249,0.0,0.0,1024.0,74752.0,3427.0,3040.0,15142973440.0,886112256.0,16075292672.0,1291264000.0
1.008,1.134,97.607,0.252,0.0,0.0,8192.0,266240.0,4939.0,1789.0,15081738240.0,886120448.0,16075694080.0,1352089600.0
2.270,0.883,96.847,0.0,0.0,0.0,0.0,36864.0,1348.0,6713.0,15079600128.0,886120448.0,16075530240.0,1354391552.0
1.126,0.626,98.248,0.0,0.0,0.0,0.0,0.0,2306.0,1860.0,15080873984.0,886120448.0,16075522048.0,1353125888.0
1.384,0.881,97.736,0.0,0.0,0.0,0.0,0.0,12983.0,1666.0,15082614784.0,886120448.0,16075505664.0,1351401472.0
1.128,0.752,98.120,0.0,0.0,0.0,0.0,16384.0,16992.0,1792.0,15082377216.0,886120448.0,16075464704.0,1351680000.0


"Host:","ficussuzhou",,,,"User:","xtgu"
"Cmdline:","dstat --output=dstat/dstat_database_1.csv -cdn -m",,,,"Date:","31 Jul 2015 21:01:44 CST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free"
6.652,1.681,90.584,1.072,0.000,0.011,886075.372,1140405.429,0.0,0.0,15068426240.0,887480320.0,16088313856.0,1351421952.0
10.526,1.754,85.714,2.005,0.0,0.0,0.0,5926912.0,2376.0,5548.0,15120064512.0,887488512.0,16090693632.0,1297395712.0
2.020,0.631,97.348,0.0,0.0,0.0,0.0,0.0,8479.0,2686.0,15123169280.0,887488512.0,16090771456.0,1294213120.0
1.617,1.617,96.269,0.498,0.0,0.0,0.0,282624.0,8742.0,1917.0,15124643840.0,887492608.0,16091451392.0,1292054528.0
1.131,1.005,97.864,0.0,0.0,0.0,0.0,12288.0,5337.0,2719.0,15125348352.0,887492608.0,16091271168.0,1291530240.0
1.003,0.877,98.120,0.0,0.0,0.0,0.0,0.0,4564.0,2105.0,15125270528.0,887492608.0,16091729920.0,1291149312.0
0.879,1.005,98.116,0.0,0.0,0.0,0.0,40960.0,1777.0,1953.0,15120396288.0,887492608.0,16092016640.0,1295736832.0
2.130,1.378,95.865,0.627,0.0,0.0,0.0,65536.0,4885.0,2796.0,15126929408.0,887500800.0,16092127232.0,1289084928.0
1.134,0.882,97.481,0.504,0.0,0.0,0.0,270336.0,4634.0,3144.0,15126614016.0,887504896.0,16092184576.0,1289338880.0
1.135,0.757,97.982,0.126,0.0,0.0,1024.0,78848.0,10360.0,1849.0,15126216704.0,887504896.0,16092327936.0,1289592832.0
0.628,1.005,98.367,0.0,0.0,0.0,0.0,0.0,1031.0,1105.0,15126880256.0,887504896.0,16092090368.0,1289166848.0
3.518,2.513,93.970,0.0,0.0,0.0,0.0,57344.0,9246.0,1717.0,15069118464.0,887504896.0,16092655616.0,1346363392.0
3.392,0.879,94.095,1.633,0.0,0.0,0.0,610304.0,4697.0,1798.0,15069724672.0,887529472.0,16092839936.0,1345548288.0
1.126,1.126,97.747,0.0,0.0,0.0,0.0,16384.0,18553.0,1585.0,15070670848.0,887529472.0,16092299264.0,1345142784.0
0.630,0.882,98.489,0.0,0.0,0.0,0.0,16384.0,13710.0,883.0,15070457856.0,887529472.0,16092508160.0,1345146880.0
0.752,1.128,98.120,0.0,0.0,0.0,0.0,0.0,5487.0,2115.0,15069945856.0,887529472.0,16092483584.0,1345683456.0


"Host:","ficussuzhou",,,,"User:","xtgu"
"Cmdline:","dstat --output=dstat/dstat_database_1.csv -cdn -m",,,,"Date:","31 Jul 2015 21:05:40 CST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free"
6.577,1.679,90.671,1.062,0.000,0.011,875747.534,1127201.398,0.0,0.0,15088443392.0,888168448.0,16091410432.0,1327620096.0
11.321,1.132,86.918,0.629,0.0,0.0,5120.0,406528.0,4681.0,2997.0,15139557376.0,888172544.0,16092110848.0,1275801600.0
1.132,0.755,98.113,0.0,0.0,0.0,0.0,0.0,3800.0,2133.0,15140429824.0,888172544.0,16092389376.0,1274650624.0
1.129,0.627,98.243,0.0,0.0,0.0,0.0,0.0,22554.0,1501.0,15140974592.0,888172544.0,16092479488.0,1274015744.0
1.263,0.505,98.232,0.0,0.0,0.0,0.0,0.0,1288.0,8897.0,15141384192.0,888172544.0,16092483584.0,1273602048.0
1.259,1.008,96.725,1.008,0.0,0.0,0.0,114688.0,3277.0,2489.0,15142264832.0,888180736.0,16092577792.0,1272619008.0
2.018,0.883,96.595,0.504,0.0,0.0,0.0,282624.0,7408.0,2240.0,15144210432.0,888188928.0,16103985152.0,1259257856.0
1.757,1.506,96.738,0.0,0.0,0.0,0.0,16384.0,10149.0,1923.0,15145926656.0,888188928.0,16107233280.0,1254293504.0
1.252,1.502,97.247,0.0,0.0,0.0,0.0,16384.0,5475.0,2257.0,15146848256.0,888188928.0,16107274240.0,1253330944.0
0.881,0.881,98.239,0.0,0.0,0.0,0.0,0.0,3464.0,1761.0,15146119168.0,888188928.0,16076873728.0,1284460544.0
1.757,0.753,97.240,0.251,0.0,0.0,4096.0,307200.0,3040.0,2349.0,15145934848.0,888188928.0,16076931072.0,1284587520.0
1.508,1.131,96.357,1.005,0.0,0.0,0.0,278528.0,3923.0,1988.0,15148961792.0,888205312.0,16076935168.0,1281540096.0
2.760,1.255,95.985,0.0,0.0,0.0,1024.0,128000.0,1578.0,1960.0,15088021504.0,888205312.0,16076550144.0,1342865408.0
