"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ficussuzhou",,,,"User:","xtgu"
"Cmdline:","dstat --output=dstat/dstat_database_20.csv -cdn -m",,,,"Date:","02 Aug 2015 22:16:11 CST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free"
2.169,1.428,95.815,0.578,0.000,0.010,211747.884,289479.773,0.0,0.0,17489072128.0,1709830144.0,13549584384.0,647155712.0
21.266,1.519,76.582,0.633,0.0,0.0,1557504.0,136192.0,17716.0,312892.0,17568210944.0,1709830144.0,13552848896.0,564752384.0
5.395,1.757,92.723,0.125,0.0,0.0,131072.0,8192.0,25540.0,394572.0,17571971072.0,1709830144.0,13555253248.0,558587904.0
2.270,1.765,95.965,0.0,0.0,0.0,131072.0,921600.0,20439.0,518261.0,17575325696.0,1709830144.0,13555683328.0,554803200.0
1.772,0.759,96.456,1.013,0.0,0.0,0.0,344064.0,21634.0,188017.0,17578221568.0,1709834240.0,13566730240.0,540856320.0
3.764,1.757,93.350,1.129,0.0,0.0,0.0,389120.0,22125.0,406236.0,17578192896.0,1709838336.0,13541003264.0,566607872.0
2.136,1.508,96.231,0.126,0.0,0.0,132096.0,50176.0,28511.0,132715.0,17579790336.0,1709838336.0,13548445696.0,557568000.0
2.138,1.132,96.730,0.0,0.0,0.0,262144.0,12288.0,11908.0,247327.0,17586700288.0,1709838336.0,13551915008.0,547188736.0
2.632,1.128,96.241,0.0,0.0,0.0,393216.0,36864.0,10829.0,231679.0,17599344640.0,1709838336.0,13553135616.0,533323776.0
1.882,1.506,96.612,0.0,0.0,0.0,655360.0,0.0,26150.0,696495.0,17616674816.0,1709838336.0,13547139072.0,521990144.0
3.149,1.134,95.088,0.630,0.0,0.0,393216.0,270336.0,28754.0,556070.0,17629433856.0,1709838336.0,13547937792.0,508432384.0
3.0,2.125,94.625,0.125,0.0,0.125,394240.0,91136.0,20607.0,525325.0,17648013312.0,1709838336.0,13550723072.0,487067648.0
2.516,2.138,95.346,0.0,0.0,0.0,393216.0,0.0,13371.0,334163.0,17650421760.0,1709838336.0,13551292416.0,484089856.0
3.793,0.885,95.322,0.0,0.0,0.0,655360.0,139264.0,34663.0,571637.0,17651048448.0,1709838336.0,13554552832.0,480202752.0
2.655,1.264,96.081,0.0,0.0,0.0,131072.0,0.0,12936.0,154784.0,17652346880.0,1709838336.0,13554040832.0,479416320.0
