"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ficussuzhou",,,,"User:","xtgu"
"Cmdline:","dstat --output=dstat/dstat_face_pair_verification_8.csv -cdn -m",,,,"Date:","03 Aug 2015 11:53:24 CST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free"
1.586,2.100,89.303,6.972,0.0,0.038,5504370.231,1550671.328,0.0,0.0,14657667072.0,2551447552.0,5067952128.0,11118575616.0
14.570,1.121,72.727,11.582,0.0,0.0,565248.0,2961408.0,25249.0,1074603.0,14735859712.0,2551459840.0,5071429632.0,11036893184.0
1.122,1.247,85.910,11.721,0.0,0.0,655360.0,0.0,2873.0,380.0,14737047552.0,2551468032.0,5072048128.0,11035078656.0
1.252,1.502,85.232,12.015,0.0,0.0,614400.0,0.0,2233.0,824.0,14738907136.0,2551468032.0,5070467072.0,11034800128.0
1.004,1.255,85.947,11.794,0.0,0.0,553984.0,144384.0,3074.0,1048.0,14739333120.0,2551476224.0,5072162816.0,11032670208.0
0.875,1.375,85.750,12.0,0.0,0.0,651264.0,0.0,83871.0,604.0,14738841600.0,2551476224.0,5073301504.0,11032023040.0
1.003,0.627,86.090,12.281,0.0,0.0,536576.0,2969600.0,3389.0,370.0,14739087360.0,2551492608.0,5070106624.0,11034955776.0
1.247,1.122,85.536,11.970,0.0,0.125,634880.0,0.0,2311.0,1144.0,14740430848.0,2551492608.0,5069910016.0,11033808896.0
0.873,1.247,85.786,11.970,0.0,0.125,614400.0,28672.0,6337.0,940.0,14739652608.0,2551492608.0,5069389824.0,11035107328.0
1.131,0.879,86.181,11.809,0.0,0.0,700416.0,36864.0,8703.0,1528.0,14740066304.0,2551631872.0,5071839232.0,11032104960.0
1.380,0.753,85.947,11.920,0.0,0.0,634880.0,0.0,10863.0,1124.0,14741049344.0,2551631872.0,5072949248.0,11030011904.0
0.754,0.879,86.181,12.186,0.0,0.0,507904.0,2981888.0,5412.0,830.0,14741757952.0,2551648256.0,5073076224.0,11029159936.0
1.750,0.625,85.625,11.875,0.0,0.125,622592.0,0.0,2609.0,750.0,14742278144.0,2551648256.0,5071224832.0,11030491136.0
0.753,0.502,86.700,12.045,0.0,0.0,372736.0,0.0,5293.0,8590.0,14741639168.0,2551648256.0,5071675392.0,11030679552.0
1.625,0.875,84.625,12.875,0.0,0.0,181248.0,87040.0,4866.0,640.0,14741094400.0,2551656448.0,5077327872.0,11025563648.0
1.382,0.879,85.678,12.060,0.0,0.0,552960.0,0.0,79147.0,4700.0,14741700608.0,2551656448.0,5075931136.0,11026354176.0
1.245,1.245,83.562,13.823,0.0,0.125,536576.0,4141056.0,25155.0,574.0,14741966848.0,2551668736.0,5073743872.0,11028262912.0
1.494,1.743,83.188,13.574,0.0,0.0,356352.0,3817472.0,3981.0,950.0,14741667840.0,2551668736.0,5075910656.0,11026395136.0
1.366,1.988,82.609,14.037,0.0,0.0,331776.0,2322432.0,4763.0,816.0,14741524480.0,2551668736.0,5076262912.0,11026186240.0
1.004,1.004,75.533,22.459,0.0,0.0,401408.0,950272.0,4278.0,778.0,14741667840.0,2551676928.0,5076701184.0,11025596416.0
1.255,1.004,85.571,12.171,0.0,0.0,516096.0,1335296.0,34275.0,658.0,14741704704.0,2551676928.0,5083181056.0,11019079680.0
1.125,1.250,84.0,13.625,0.0,0.0,320512.0,3900416.0,3280.0,680.0,14742040576.0,2551685120.0,5077037056.0,11024879616.0
1.124,1.124,82.522,15.231,0.0,0.0,495616.0,1802240.0,3527.0,512.0,14742564864.0,2551685120.0,5079695360.0,11021697024.0
1.856,2.104,75.866,20.050,0.0,0.124,389120.0,3371008.0,3444.0,1120.0,14743830528.0,2551685120.0,5080952832.0,11019173888.0
1.125,1.250,80.125,17.500,0.0,0.0,184320.0,1200128.0,6978.0,574.0,14743724032.0,2551693312.0,5078548480.0,11021676544.0
1.615,1.739,84.969,11.677,0.0,0.0,434176.0,323584.0,98026.0,6142.0,14743642112.0,2551693312.0,5079527424.0,11020779520.0
1.121,1.245,85.430,12.204,0.0,0.0,331776.0,1728512.0,3054.0,446.0,14743416832.0,2551705600.0,5080059904.0,11020460032.0
2.632,2.256,83.083,12.030,0.0,0.0,593920.0,0.0,1564.0,606.0,14744166400.0,2551705600.0,5075841024.0,11023929344.0
1.128,1.253,85.213,12.406,0.0,0.0,676864.0,111616.0,3676.0,782.0,14743789568.0,2551832576.0,5078806528.0,11021213696.0
1.493,1.368,85.323,11.816,0.0,0.0,544768.0,57344.0,3331.0,756.0,14744530944.0,2551840768.0,5079035904.0,11020234752.0
0.999,0.999,85.893,11.985,0.0,0.125,589824.0,77824.0,10573.0,1162.0,14744223744.0,2551853056.0,5081907200.0,11017658368.0
1.252,1.252,85.106,12.390,0.0,0.0,679936.0,2678784.0,3890.0,1080.0,14744711168.0,2551996416.0,5084540928.0,11014393856.0
1.125,1.125,85.750,11.875,0.0,0.125,663552.0,0.0,1907.0,456.0,14744690688.0,2551996416.0,5088636928.0,11010318336.0
1.631,1.004,84.944,12.296,0.0,0.125,544768.0,81920.0,2547.0,20340.0,14744260608.0,2552012800.0,5088419840.0,11010949120.0
1.375,0.875,84.875,12.875,0.0,0.0,558080.0,144384.0,3402.0,436.0,14745804800.0,2552012800.0,5087072256.0,11010752512.0
1.003,0.752,86.341,11.905,0.0,0.0,630784.0,0.0,82855.0,2694.0,14745477120.0,2552012800.0,5087465472.0,11010686976.0
1.003,0.627,86.090,12.281,0.0,0.0,561152.0,2887680.0,6531.0,478.0,14745620480.0,2552029184.0,5083406336.0,11014586368.0
1.498,1.248,85.518,11.735,0.0,0.0,634880.0,0.0,3779.0,756.0,14745911296.0,2552029184.0,5086658560.0,11011043328.0
1.126,1.252,85.607,12.015,0.0,0.0,548864.0,98304.0,3041.0,754.0,14746038272.0,2552037376.0,5092212736.0,11005353984.0
1.494,1.494,85.056,11.831,0.0,0.125,626688.0,0.0,2834.0,824.0,14746312704.0,2552037376.0,5089923072.0,11007369216.0
1.627,0.626,85.607,12.015,0.0,0.125,638976.0,0.0,58145.0,136678.0,14750896128.0,2552037376.0,5090369536.0,11002339328.0
1.625,1.0,85.125,12.250,0.0,0.0,565248.0,2945024.0,3039.0,1184.0,14751412224.0,2552049664.0,5088002048.0,11004178432.0
1.003,0.752,86.216,12.030,0.0,0.0,606208.0,0.0,3381.0,560.0,14751531008.0,2552049664.0,5090045952.0,11002015744.0
1.375,1.375,85.500,11.750,0.0,0.0,544768.0,61440.0,8574.0,130792.0,14754963456.0,2552057856.0,5087993856.0,11000627200.0
1.132,0.755,86.038,12.075,0.0,0.0,594944.0,82944.0,1946.0,716.0,14755033088.0,2552057856.0,5088182272.0,11000369152.0
1.242,1.242,85.342,11.925,0.0,0.248,671744.0,0.0,66550.0,1036.0,14755598336.0,2552057856.0,5089746944.0,10998239232.0
1.250,1.250,85.375,12.125,0.0,0.0,569344.0,2871296.0,26044.0,1122.0,14755753984.0,2552070144.0,5092114432.0,10995703808.0
