"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ficussuzhou",,,,"User:","xtgu"
"Cmdline:","dstat --output=dstat/dstat_face_verification_6.csv -cdn -m",,,,"Date:","03 Aug 2015 16:02:12 CST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free"
2.284,8.995,86.716,1.979,0.000,0.025,1181208.691,470998.729,0.0,0.0,17083277312.0,2657157120.0,7210168320.0,6445039616.0
15.789,1.253,82.832,0.0,0.0,0.125,0.0,0.0,18457.0,996062.0,17164832768.0,2657157120.0,7210881024.0,6362771456.0
1.875,1.500,96.125,0.500,0.0,0.0,0.0,385024.0,12784.0,9517.0,17165430784.0,2657161216.0,7210455040.0,6362595328.0
1.639,0.883,97.478,0.0,0.0,0.0,0.0,0.0,5381.0,3606.0,17165225984.0,2657161216.0,7210455040.0,6362800128.0
1.868,1.494,91.905,4.732,0.0,0.0,1024.0,5645312.0,21568.0,1231.0,17166934016.0,2657169408.0,7208116224.0,6363422720.0
3.894,1.508,94.598,0.0,0.0,0.0,0.0,0.0,8167.0,20552.0,17170059264.0,2657169408.0,7211565056.0,6356848640.0
1.629,1.629,96.742,0.0,0.0,0.0,0.0,0.0,63495.0,8053.0,17170923520.0,2657169408.0,7210991616.0,6356557824.0
1.633,1.256,96.859,0.251,0.0,0.0,0.0,241664.0,21748.0,1797.0,17170059264.0,2657173504.0,7210717184.0,6357692416.0
1.621,1.496,96.883,0.0,0.0,0.0,0.0,0.0,33984.0,1235.0,17169817600.0,2657173504.0,7210246144.0,6358405120.0
1.748,1.373,89.388,7.491,0.0,0.0,0.0,765952.0,2280.0,1535.0,17171087360.0,2657177600.0,7210328064.0,6357049344.0
2.774,1.765,86.633,8.827,0.0,0.0,0.0,344064.0,13039.0,4906.0,17173569536.0,2657177600.0,7210663936.0,6354231296.0
2.010,1.131,96.859,0.0,0.0,0.0,0.0,0.0,4164.0,1925.0,17173741568.0,2657177600.0,7210651648.0,6354071552.0
2.117,1.494,96.264,0.0,0.0,0.125,0.0,0.0,19545.0,529653.0,17179365376.0,2657177600.0,7210205184.0,6348894208.0
1.757,1.380,96.612,0.251,0.0,0.0,0.0,212992.0,21463.0,3038.0,17180123136.0,2657185792.0,7213744128.0,6344589312.0
1.752,1.126,97.121,0.0,0.0,0.0,0.0,77824.0,8242.0,1861.0,17181241344.0,2657185792.0,7208390656.0,6348824576.0
3.371,1.248,94.757,0.499,0.0,0.125,1024.0,148480.0,14452.0,2162.0,17188769792.0,2657189888.0,7208206336.0,6341476352.0
1.621,1.621,96.758,0.0,0.0,0.0,0.0,0.0,66208.0,2831.0,17189126144.0,2657189888.0,7210659840.0,6338666496.0
1.504,1.504,96.992,0.0,0.0,0.0,0.0,0.0,30949.0,2877.0,17188524032.0,2657189888.0,7210672128.0,6339256320.0
1.889,1.385,96.474,0.252,0.0,0.0,0.0,266240.0,3219.0,1409.0,17191546880.0,2657198080.0,7210672128.0,6336225280.0
1.875,1.750,95.500,0.875,0.0,0.0,0.0,204800.0,13889.0,1839.0,17190936576.0,2657210368.0,7211847680.0,6335647744.0
3.509,1.378,93.233,1.880,0.0,0.0,0.0,610304.0,6442.0,2466.0,17198686208.0,2657218560.0,7208218624.0,6331518976.0
1.633,0.879,97.487,0.0,0.0,0.0,0.0,0.0,3225.0,1603.0,17199243264.0,2657218560.0,7208218624.0,6330961920.0
1.502,1.377,96.746,0.250,0.0,0.125,0.0,69632.0,13165.0,11464.0,17199489024.0,2657226752.0,7208218624.0,6330707968.0
1.631,1.129,97.240,0.0,0.0,0.0,0.0,0.0,3300.0,3168.0,17198899200.0,2657226752.0,7211470848.0,6328045568.0
1.875,1.375,96.750,0.0,0.0,0.0,0.0,32768.0,3920.0,1625.0,17198292992.0,2657226752.0,7208349696.0,6331772928.0
3.500,1.500,94.875,0.125,0.0,0.0,1024.0,111616.0,7959.0,10239.0,17204531200.0,2657226752.0,7212142592.0,6321741824.0
1.377,1.627,96.621,0.375,0.0,0.0,0.0,212992.0,23079.0,1507.0,17204015104.0,2657234944.0,7210356736.0,6324035584.0
1.500,1.250,97.250,0.0,0.0,0.0,0.0,0.0,30614.0,3641.0,17204133888.0,2657234944.0,7210627072.0,6323646464.0
1.866,1.866,96.020,0.249,0.0,0.0,0.0,20480.0,27574.0,1463.0,17204604928.0,2657243136.0,7209734144.0,6324060160.0
2.764,2.513,94.724,0.0,0.0,0.0,0.0,94208.0,1769.0,1375.0,17205280768.0,2657243136.0,7209639936.0,6323478528.0
11.905,1.253,86.341,0.501,0.0,0.0,0.0,221184.0,6932.0,2472.0,17215959040.0,2657251328.0,7210479616.0,6311952384.0
2.005,1.378,96.617,0.0,0.0,0.0,0.0,0.0,7081.0,3702.0,17215700992.0,2657251328.0,7210106880.0,6312583168.0
2.005,1.003,96.992,0.0,0.0,0.0,0.0,0.0,24843.0,1211.0,17216376832.0,2657251328.0,7207567360.0,6314446848.0
1.748,1.373,96.255,0.624,0.0,0.0,0.0,94208.0,4261.0,1687.0,17216614400.0,2657259520.0,7209684992.0,6312083456.0
1.873,1.498,96.380,0.250,0.0,0.0,0.0,131072.0,29629.0,2581.0,17216446464.0,2657267712.0,7207911424.0,6314016768.0
3.856,1.368,93.781,0.995,0.0,0.0,5120.0,345088.0,35221.0,2638.0,17223122944.0,2657275904.0,7210016768.0,6305226752.0
2.117,1.494,96.389,0.0,0.0,0.0,0.0,0.0,53084.0,6055.0,17223507968.0,2657275904.0,7213707264.0,6301151232.0
2.117,1.868,95.890,0.125,0.0,0.0,0.0,147456.0,20766.0,2515.0,17223745536.0,2657275904.0,7211978752.0,6302642176.0
1.631,2.133,96.236,0.0,0.0,0.0,0.0,0.0,28194.0,1237.0,17225125888.0,2657275904.0,7207280640.0,6305959936.0
1.623,1.623,95.506,1.248,0.0,0.0,0.0,131072.0,4161.0,2091.0,17223397376.0,2657284096.0,7209508864.0,6305452032.0
3.890,1.004,94.605,0.502,0.0,0.0,0.0,204800.0,6814.0,3322.0,17231265792.0,2657292288.0,7212650496.0,6294433792.0
1.629,1.629,96.742,0.0,0.0,0.0,0.0,0.0,4354.0,1765.0,17230938112.0,2657292288.0,7210274816.0,6297137152.0
2.500,2.250,95.250,0.0,0.0,0.0,0.0,12288.0,9065.0,4217.0,17141260288.0,2657292288.0,7210618880.0,6386470912.0
