"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ficussuzhou",,,,"User:","xtgu"
"Cmdline:","dstat --output=dstat/dstat_three_watermarks_1.csv -cdn -m",,,,"Date:","31 Jul 2015 21:08:21 CST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free"
6.531,1.675,90.729,1.055,0.000,0.011,867554.327,1118047.209,0.0,0.0,15117570048.0,889958400.0,16094294016.0,1293819904.0
10.401,1.128,88.471,0.0,0.0,0.0,0.0,0.0,2676.0,2867.0,15167803392.0,889958400.0,16094474240.0,1243406336.0
1.258,0.881,97.736,0.126,0.0,0.0,1024.0,95232.0,9740.0,1929.0,15169351680.0,889958400.0,16088752128.0,1247580160.0
1.502,1.252,96.245,1.001,0.0,0.0,0.0,376832.0,3300.0,5011.0,15170650112.0,889966592.0,16088715264.0,1246310400.0
1.511,0.504,97.985,0.0,0.0,0.0,0.0,0.0,8723.0,2579.0,15171235840.0,889966592.0,16088764416.0,1245675520.0
2.387,0.879,96.734,0.0,0.0,0.0,0.0,24576.0,8326.0,3138.0,15173029888.0,889966592.0,16088780800.0,1243865088.0
1.509,1.132,97.358,0.0,0.0,0.0,0.0,0.0,28551.0,2299.0,15174275072.0,889966592.0,16088719360.0,1242681344.0
2.525,1.894,95.581,0.0,0.0,0.0,0.0,28672.0,12860.0,1179.0,15176450048.0,889966592.0,16088731648.0,1240494080.0
0.756,0.630,97.859,0.756,0.0,0.0,0.0,245760.0,2171.0,2299.0,15175815168.0,889978880.0,16088731648.0,1241116672.0
2.141,1.008,96.851,0.0,0.0,0.0,0.0,24576.0,8777.0,2273.0,15175626752.0,889978880.0,16088743936.0,1241292800.0
2.020,1.263,96.465,0.126,0.0,0.126,0.0,1015808.0,4912.0,4215.0,15177822208.0,889978880.0,16088793088.0,1239048192.0
1.373,1.623,97.004,0.0,0.0,0.0,0.0,4096.0,1030.0,957.0,15178018816.0,889978880.0,16088518656.0,1239126016.0
5.250,1.750,92.875,0.125,0.0,0.0,1024.0,111616.0,3691.0,1109.0,15044595712.0,889978880.0,16088682496.0,1372385280.0
0.882,0.630,97.607,0.882,0.0,0.0,0.0,278528.0,1435.0,1359.0,15044411392.0,889991168.0,16088702976.0,1372536832.0
1.126,0.876,97.997,0.0,0.0,0.0,0.0,0.0,1698.0,1041.0,15045312512.0,889991168.0,16088645632.0,1371693056.0
2.879,1.001,96.120,0.0,0.0,0.0,0.0,282624.0,4598.0,1822.0,15047737344.0,889991168.0,16088678400.0,1369235456.0
0.878,0.878,98.243,0.0,0.0,0.0,0.0,0.0,9116.0,1613.0,15049207808.0,889991168.0,16088604672.0,1367838720.0


"Host:","ficussuzhou",,,,"User:","xtgu"
"Cmdline:","dstat --output=dstat/dstat_three_watermarks_1.csv -cdn -m",,,,"Date:","31 Jul 2015 21:09:06 CST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free"
6.519,1.673,90.744,1.053,0.000,0.011,865818.069,1115460.968,0.0,0.0,15069683712.0,890376192.0,16090763264.0,1344819200.0
11.640,1.252,86.984,0.125,0.0,0.0,5120.0,74752.0,16486.0,1823.0,15120285696.0,890376192.0,16091422720.0,1293557760.0
1.998,1.873,96.130,0.0,0.0,0.0,0.0,16384.0,21611.0,2215.0,15122231296.0,890376192.0,16089100288.0,1293934592.0
1.009,0.883,98.108,0.0,0.0,0.0,0.0,0.0,19655.0,2575.0,15122468864.0,890376192.0,16089243648.0,1293553664.0
0.878,1.129,97.742,0.251,0.0,0.0,0.0,90112.0,1451.0,1517.0,15122546688.0,890384384.0,16089239552.0,1293471744.0
2.020,1.263,95.833,0.884,0.0,0.0,0.0,299008.0,4138.0,2696.0,15126216704.0,890392576.0,16089264128.0,1289768960.0
0.884,0.758,98.232,0.126,0.0,0.0,1024.0,87040.0,17971.0,1401.0,15125368832.0,890392576.0,16089280512.0,1290600448.0
1.373,1.248,97.378,0.0,0.0,0.0,0.0,0.0,2197.0,2071.0,15126392832.0,890392576.0,16089325568.0,1289531392.0
2.005,1.253,96.742,0.0,0.0,0.0,0.0,4096.0,4011.0,2439.0,15126720512.0,890392576.0,16089325568.0,1289203712.0
1.752,1.502,96.746,0.0,0.0,0.0,0.0,131072.0,3193.0,2523.0,15126396928.0,890392576.0,16089366528.0,1289486336.0
2.625,1.0,95.0,1.375,0.0,0.0,0.0,266240.0,4726.0,3014.0,15129014272.0,890408960.0,16089354240.0,1286864896.0
1.128,0.877,97.995,0.0,0.0,0.0,0.0,16384.0,4813.0,2161.0,15128588288.0,890408960.0,16089444352.0,1287200768.0
1.625,0.875,96.500,1.0,0.0,0.0,0.0,94208.0,4738.0,1771.0,15129657344.0,890425344.0,16089346048.0,1286213632.0
1.253,1.128,97.494,0.125,0.0,0.0,1024.0,107520.0,4438.0,1897.0,15130628096.0,890425344.0,16089419776.0,1285169152.0
1.256,0.628,98.116,0.0,0.0,0.0,0.0,36864.0,3468.0,1831.0,15130718208.0,890425344.0,16089427968.0,1285070848.0
1.757,1.129,96.361,0.627,0.0,0.125,0.0,245760.0,4578.0,3018.0,15133605888.0,890433536.0,16089690112.0,1281912832.0
1.248,0.999,97.753,0.0,0.0,0.0,0.0,0.0,1705.0,2076.0,15133749248.0,890433536.0,16089710592.0,1281748992.0
1.625,1.375,96.750,0.250,0.0,0.0,0.0,32768.0,9750.0,2589.0,15134138368.0,890441728.0,16089681920.0,1281380352.0
1.873,1.124,96.879,0.125,0.0,0.0,0.0,4096.0,7123.0,6671.0,15134724096.0,890441728.0,16089710592.0,1280765952.0
0.883,0.757,98.235,0.126,0.0,0.0,1024.0,41984.0,2199.0,1379.0,15135494144.0,890441728.0,16089735168.0,1279971328.0
2.267,0.756,96.725,0.252,0.0,0.0,0.0,241664.0,13807.0,2718.0,15138521088.0,890445824.0,16089735168.0,1276940288.0
1.253,1.378,97.243,0.0,0.0,0.125,0.0,73728.0,34130.0,1775.0,15073443840.0,890445824.0,16090345472.0,1341407232.0
