"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ficussuzhou",,,,"User:","xtgu"
"Cmdline:","dstat --output=dstat/dstat_three_watermarks_7.csv -cdn -m",,,,"Date:","02 Aug 2015 16:42:26 CST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free"
2.201,1.325,95.857,0.606,0.000,0.010,217365.963,299820.499,0.0,0.0,17494134784.0,1736953856.0,13706313728.0,458240000.0
14.768,2.003,83.104,0.0,0.0,0.125,0.0,16384.0,45080.0,936816.0,17570738176.0,1736953856.0,13708648448.0,379301888.0
1.129,3.011,95.358,0.502,0.0,0.0,0.0,73728.0,5571.0,6551.0,17575391232.0,1736953856.0,13706391552.0,376905728.0
1.378,1.629,96.992,0.0,0.0,0.0,0.0,5505024.0,3976.0,2089.0,17574330368.0,1736953856.0,13706502144.0,377856000.0
0.504,1.009,98.487,0.0,0.0,0.0,0.0,0.0,10042.0,1027.0,17574146048.0,1736953856.0,13706493952.0,378048512.0
1.892,0.883,96.974,0.252,0.0,0.0,0.0,266240.0,9710.0,146690.0,17578364928.0,1736953856.0,13706944512.0,373379072.0
1.134,1.134,97.733,0.0,0.0,0.0,0.0,0.0,2733.0,1475.0,17577959424.0,1736953856.0,13706571776.0,374157312.0
1.373,1.373,97.004,0.250,0.0,0.0,1024.0,91136.0,3824.0,2891.0,17579466752.0,1736953856.0,13706477568.0,372744192.0
0.883,1.009,97.730,0.378,0.0,0.0,0.0,135168.0,15116.0,2289.0,17579991040.0,1736953856.0,13706190848.0,372506624.0
3.279,1.261,95.460,0.0,0.0,0.0,0.0,0.0,3356.0,1413.0,17524285440.0,1736953856.0,13706170368.0,428232704.0
2.900,1.135,95.712,0.252,0.0,0.0,0.0,200704.0,5801.0,2164.0,17524346880.0,1736957952.0,13706199040.0,428138496.0
1.509,1.006,97.484,0.0,0.0,0.0,0.0,16384.0,12565.0,2297.0,17523240960.0,1736957952.0,13706432512.0,429010944.0
2.645,2.519,94.836,0.0,0.0,0.0,0.0,16384.0,10774.0,1221.0,17524940800.0,1736957952.0,13706416128.0,427327488.0
0.882,1.385,97.355,0.378,0.0,0.0,0.0,188416.0,11084.0,1607.0,17470205952.0,1736957952.0,13706178560.0,482299904.0
