"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ficussuzhou",,,,"User:","xtgu"
"Cmdline:","dstat --output=dstat/dstat_watermark_1.csv -cdn -m",,,,"Date:","02 Aug 2015 13:47:10 CST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","used","buff","cach","free"
2.174,1.230,95.975,0.610,0.000,0.010,175466.067,302044.806,0.0,0.0,17742807040.0,1682567168.0,13666938880.0,303329280.0
13.358,4.869,79.900,1.748,0.0,0.125,709120.0,640000.0,2630.0,3137.0,17797943296.0,1682567168.0,13656272896.0,258859008.0
20.177,4.918,73.392,1.387,0.0,0.126,1519616.0,270336.0,9095.0,6297.0,17899016192.0,1682567168.0,13572521984.0,241537024.0
13.683,7.673,70.205,8.312,0.0,0.128,6418432.0,425984.0,3871.0,3691.0,17914617856.0,1682567168.0,13555224576.0,243232768.0
18.994,16.101,64.025,0.629,0.0,0.252,143360.0,0.0,17653.0,4171.0,17914871808.0,1682567168.0,13556314112.0,241889280.0
12.863,15.259,66.330,5.422,0.0,0.126,43130880.0,69632.0,3329.0,3359.0,17913208832.0,1682567168.0,13556736000.0,243130368.0
13.181,12.041,67.300,7.351,0.0,0.127,54616064.0,524288.0,5518.0,5588.0,17918980096.0,1682567168.0,13557600256.0,236494848.0
34.253,10.163,44.793,10.540,0.0,0.251,93737984.0,267264.0,34156.0,7136.0,17957572608.0,1682567168.0,13518753792.0,236748800.0
17.478,10.112,56.679,15.605,0.0,0.125,60444672.0,532480.0,3728.0,3413.0,17973874688.0,1682567168.0,13499912192.0,239288320.0
9.439,14.158,65.434,10.332,0.0,0.638,98041856.0,0.0,13327.0,4177.0,17971806208.0,1682567168.0,13501091840.0,240177152.0
11.750,15.375,61.750,11.125,0.0,0.0,89935872.0,24576.0,5417.0,3405.0,17973030912.0,1682571264.0,13502345216.0,237694976.0
10.719,13.745,62.799,12.358,0.0,0.378,98959360.0,307200.0,2888.0,3679.0,17967267840.0,1682571264.0,13503283200.0,242520064.0
13.850,14.867,63.405,7.497,0.0,0.381,67728384.0,652288.0,8065.0,4916.0,17970806784.0,1682571264.0,13503717376.0,238546944.0
2.261,14.070,83.040,0.503,0.0,0.126,0.0,380928.0,3218.0,4410.0,17970548736.0,1682571264.0,13504598016.0,237924352.0
7.459,18.458,73.831,0.0,0.0,0.253,0.0,0.0,9631.0,2748.0,17971441664.0,1682571264.0,13505630208.0,235999232.0
8.953,19.672,70.618,0.378,0.0,0.378,0.0,65536.0,3654.0,3153.0,17971212288.0,1682571264.0,13508046848.0,233811968.0
9.524,19.674,70.677,0.0,0.0,0.125,0.0,36864.0,4067.0,5040.0,17973022720.0,1682571264.0,13509423104.0,230625280.0
10.493,19.722,67.509,2.149,0.0,0.126,0.0,872448.0,30811.0,9212.0,17977290752.0,1682583552.0,13510660096.0,225107968.0
9.217,19.571,70.455,0.505,0.0,0.253,311296.0,176128.0,4862.0,4311.0,17976590336.0,1682591744.0,13513228288.0,223232000.0
9.710,19.546,70.744,0.0,0.0,0.0,0.0,8192.0,19944.0,2430.0,17976541184.0,1682591744.0,13496000512.0,240508928.0
9.863,20.350,69.538,0.0,0.0,0.250,0.0,0.0,7049.0,5100.0,17976418304.0,1682591744.0,13498015744.0,238616576.0
9.434,19.497,67.673,3.145,0.0,0.252,0.0,1273856.0,4513.0,2428.0,17976926208.0,1682591744.0,13499211776.0,236912640.0
10.150,20.551,69.173,0.0,0.0,0.125,0.0,0.0,10112.0,6089.0,17980796928.0,1682591744.0,13501878272.0,230375424.0
9.398,19.925,67.419,3.133,0.0,0.125,5120.0,578560.0,4011.0,5099.0,17981415424.0,1682591744.0,13503479808.0,228155392.0
